property_id,account_number,name,address1,address2,city,state_prov,country_code,postal_code,primary_contact_id,notes,survey_compliance,last_survey,next_survey
100062,,Children's Hospital,1552 Naples National CT,,Snoqualiamish,WA,US,98215,67,,false,2007-11-06,2012-11-06
97,5684-000,Peck Doran P C,1556 N Inverness St,,Snoqualamish,WA,US,98215,7,,false,2006-02-17,2011-02-17
702,17063-000,Maria Elena's Mexican Restaurant,5026 S Library Rd,,Snoqualamish,WA,US,98215,52,,false,2008-03-24,2013-03-24
824,18362-000,Quality Surface of Metro Snoqualamish,7359 W Seay CT,,Snoqualamish,WA,US,98215,59,,false,2008-01-27,2013-01-27
835,19182-000,Real Property Valuations Inc,9089 S Linksway Dr,,Snoqualamish,WA,US,98215,60,,false,2010-12-21,2015-12-21
100016,,Academy Veterinary Hospital,8350 Lighthouse CT,,Snoqualiamish,WA,US,98215,65,,false,2004-08-14,2011-08-14
100045,,Bethesda At St Anthony Hospital North,1802 Woodcreek Pl,,Snoqualiamish,WA,US,98215,66,,false,2008-02-21,2013-02-21
861,20089-000,A-Quest Electronics,5289 W Preston Mill CT,,Snoqualamish,WA,US,98215,64,,false,2004-08-22,2011-08-22
100122,,Hospital Shared Services Warehouse,5998 Buena Park Dr,,Snoqualiamish,WA,US,98215,70,,false,2007-01-26,2012-01-26
219,8070-000,Taylors Liquors,445 S Perkins Ln,,Snoqualamish,WA,US,98215,11,,false,2007-07-08,2012-07-08
255,8561-000,World Computer Corporation,7816 S Yankee St,,Snoqualamish,WA,US,98215,17,,false,2007-11-03,2012-11-03
511,13070-000,Omelet House Restaurant,709 W Wallace Dr,,Snoqualamish,WA,US,98215,39,,false,2004-07-28,2011-07-28
513,13079-000,Wej Management Corp,4424 S Red Barn St,,Snoqualamish,WA,US,98215,40,,false,2010-06-16,2015-06-16
762,21643-000,Splash of Color,464 S Kodiak CT,,Snoqualamish,WA,US,98215,55,,false,2008-01-27,2013-01-27
798,18166-000,Toys-R-Us,515 W Vinson Dr,,Snoqualamish,WA,US,98215,58,,false,2008-01-03,2013-01-03
100414,,Willie,12212,,,,US,,,,,,
299,9125-000,Midwest Sales CO,4557 S Frank St,,Snoqualamish,WA,US,98215,22,,false,2007-03-26,2012-03-26
45,22096-000,Rainbow Rebuilders,6694 S Abbotsford Way,Median/26-632-440-#21,Snoqualamish,WA,US,98215,2,,false,2010-12-22,2011-12-22
377,10849-000,Mr Smith's Restaurant,4370 S Robin Hood Ln,,Snoqualamish,WA,US,98215,29,,false,2007-08-09,2012-08-09
68,22782-000,Storewise Software Inc,5038 Somerset Rd,,Snoqualamish,WA,US,98215,3,,false,2008-02-13,2013-02-13
150,7280-000,Mex Imports,6471 S Chant CT,,Snoqualamish,WA,US,98215,9,,false,2008-01-06,2013-01-06
502,12907-000,Mile High Lounge,7002 S Village Green Dr,,Snoqualamish,WA,US,98215,38,these are comments,false,2006-08-06,2011-08-06
661,16745-000,So Fine Limousine Service,3947 W Greenlawn Dr,,Snoqualamish,WA,US,98215,47,,,2002-04-10,
788,18079-000,Steward Painting & Restoration,3727 W Carter's Corner Rd,,Snoqualamish,WA,US,98215,57,,,,
100127,,Hospitality Flowers & Gifts,6725 Sheridan St,,Snoqualiamish,WA,US,98215,71,,false,2003-02-07,2011-02-28
495,12762-000,Southwest Radiographics,9458 S Rolling Ridge Way,,Snoqualamish,WA,US,98215,37,,false,2007-01-12,2012-01-12
529,13335-000,Advantage Brokers,5120 S Webb St,,Snoqualamish,WA,US,98215,42,,,2002-09-09,
